"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	0	"GSM239504"
TRUE	"l"	"GSM239504"	3120	"GSM239501"
TRUE	"f"	NA	0	"GSM239505"
TRUE	"m"	"GSM239505"	1320	"GSM239499"
TRUE	"l"	"GSM239499"	1800	"GSM239502"
TRUE	"f"	NA	0	"GSM239506"
TRUE	"m"	"GSM239506"	1320	"GSM239500"
TRUE	"l"	"GSM239500"	1800	"GSM239503"
FALSE	"e"	NA	0	"GSM239507"
TRUE	"f"	NA	0	"GSM257776"
TRUE	"m"	"GSM257776"	1320	"GSM257779"
TRUE	"m"	"GSM257779"	1800	"GSM257781"
TRUE	"m"	"GSM257781"	1200	"GSM257784"
TRUE	"l"	"GSM257784"	1320	"GSM257787"
TRUE	"f"	NA	0	"GSM257777"
TRUE	"m"	"GSM257777"	1320	"GSM257780"
TRUE	"m"	"GSM257780"	1800	"GSM257782"
TRUE	"m"	"GSM257782"	1200	"GSM257785"
TRUE	"l"	"GSM257785"	1320	"GSM257788"
TRUE	"f"	NA	0	"GSM257778"
TRUE	"m"	"GSM257778"	3120	"GSM257783"
TRUE	"m"	"GSM257783"	1200	"GSM257786"
TRUE	"l"	"GSM257786"	1320	"GSM257789"
TRUE	"f"	NA	0	"GSM307247"
TRUE	"l"	"GSM307247"	10	"GSM307248"
TRUE	"f"	NA	0	"GSM356519"
TRUE	"m"	"GSM356519"	720	"GSM356520"
TRUE	"m"	"GSM356520"	720	"GSM356521"
TRUE	"m"	"GSM356521"	720	"GSM356522"
TRUE	"m"	"GSM356522"	720	"GSM356523"
TRUE	"m"	"GSM356523"	720	"GSM356524"
TRUE	"m"	"GSM356524"	720	"GSM356525"
TRUE	"m"	"GSM356525"	720	"GSM356526"
TRUE	"l"	"GSM356526"	720	"GSM356527"
TRUE	"f"	NA	0	"GSM356529"
TRUE	"m"	"GSM356529"	720	"GSM356530"
TRUE	"m"	"GSM356530"	720	"GSM356531"
TRUE	"m"	"GSM356531"	720	"GSM356532"
TRUE	"m"	"GSM356532"	720	"GSM356533"
TRUE	"m"	"GSM356533"	720	"GSM356534"
TRUE	"m"	"GSM356534"	720	"GSM356535"
TRUE	"l"	"GSM356535"	720	"GSM356536"
TRUE	"f"	NA	0	"GSM385485"
TRUE	"l"	"GSM385485"	960	"GSM385486"
FALSE	"e"	NA	0	"GSM385494"
FALSE	"e"	NA	0	"GSM434018"
FALSE	"e"	NA	0	"GSM614242"
FALSE	"e"	NA	0	"GSM630783"
FALSE	"e"	NA	0	"GSM673321"
TRUE	"f"	NA	0	"GSM673332"
TRUE	"m"	"GSM673332"	20	"GSM673335"
TRUE	"l"	"GSM673335"	20	"GSM673338"
TRUE	"f"	NA	0	"GSM673333"
TRUE	"m"	"GSM673333"	20	"GSM673336"
TRUE	"l"	"GSM673336"	20	"GSM673339"
TRUE	"f"	NA	0	"GSM673334"
TRUE	"m"	"GSM673334"	20	"GSM673337"
TRUE	"l"	"GSM673337"	20	"GSM673340"
TRUE	"f"	NA	0	"GSM673344"
TRUE	"m"	"GSM673344"	20	"GSM673347"
TRUE	"l"	"GSM673347"	20	"GSM673350"
TRUE	"f"	NA	0	"GSM673345"
TRUE	"m"	"GSM673345"	20	"GSM673348"
TRUE	"l"	"GSM673348"	20	"GSM673351"
TRUE	"f"	NA	0	"GSM673346"
TRUE	"m"	"GSM673346"	20	"GSM673349"
TRUE	"l"	"GSM673349"	20	"GSM673352"
FALSE	"e"	NA	0	"GSM826842"
FALSE	"e"	NA	0	"GSM826843"
FALSE	"e"	NA	0	"GSM826844"
TRUE	"f"	NA	0	"GSM842094"
TRUE	"l"	"GSM842094"	1440	"GSM842096"
TRUE	"f"	NA	0	"GSM842095"
TRUE	"l"	"GSM842095"	1440	"GSM842097"
TRUE	"f"	NA	0	"GSM842101"
TRUE	"l"	"GSM842101"	1440	"GSM842103"
TRUE	"f"	NA	0	"GSM842100"
TRUE	"m"	"GSM842100"	1440	"GSM842102"
TRUE	"l"	"GSM842102"	1440	"GSM842104"
FALSE	"e"	NA	0	"GSM1374197"
FALSE	"e"	NA	0	"GSM564451"
FALSE	"e"	NA	0	"GSM564465"
FALSE	"e"	NA	0	"GSM564472"
FALSE	"e"	NA	0	"GSM661275"
FALSE	"e"	NA	0	"GSM661282"
FALSE	"e"	NA	0	"GSM816749"
FALSE	"e"	NA	0	"GSM816764"
FALSE	"e"	NA	0	"GSM816782"
TRUE	"f"	NA	0	"GSM1227260"
TRUE	"m"	"GSM1227260"	2880	"GSM1227272"
TRUE	"m"	"GSM1227272"	2880	"GSM1227278"
TRUE	"l"	"GSM1227278"	1440	"GSM1227281"
TRUE	"f"	NA	0	"GSM1227261"
TRUE	"m"	"GSM1227261"	2880	"GSM1227273"
TRUE	"m"	"GSM1227273"	2880	"GSM1227279"
TRUE	"l"	"GSM1227279"	1440	"GSM1227282"
TRUE	"f"	NA	0	"GSM1227262"
TRUE	"m"	"GSM1227262"	2880	"GSM1227274"
